City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hobart,AU,-42.8794,147.3294,56.12,59,20,8.05,few clouds
80,Tiksi,RU,71.6872,128.8694,34.74,88,100,21.85,overcast clouds
81,Bredasdorp,ZA,-34.5322,20.0403,61.29,81,100,4.99,overcast clouds
82,Ancud,CL,-41.8697,-73.8203,33.33,78,6,2.68,clear sky
83,Olafsvik,IS,64.8945,-23.7142,41.02,88,100,42.23,moderate rain
84,Broken Hill,AU,-31.95,141.4333,64.11,22,3,11.5,clear sky
85,Dingle,PH,10.9995,122.6711,84.83,77,57,4.09,broken clouds
86,Sao Filipe,CV,14.8961,-24.4956,77.94,76,69,8.86,broken clouds
87,Baicheng,CN,45.6167,122.8167,66.24,86,93,5.35,overcast clouds
88,Diego De Almagro,CL,-26.3667,-70.05,60.69,26,0,1.88,clear sky
89,Helong,CN,42.5397,128.9972,67.17,80,52,3.4,broken clouds
90,Aykhal,RU,66.0,111.5,38.5,51,7,17.2,clear sky
91,Hualmay,PE,-11.0964,-77.6139,61.43,89,93,7.07,overcast clouds
92,Port Blair,IN,11.6667,92.75,80.6,84,100,10.27,overcast clouds
93,Scalea,IT,39.813,15.7956,78.46,45,100,4.09,overcast clouds
94,Balabac,PH,7.9868,117.0645,84.96,68,100,5.66,overcast clouds
95,Bluff,NZ,-46.6,168.3333,42.8,60,83,9.66,broken clouds
96,Filadelfia,US,39.9523,-75.1638,62.98,86,1,3.0,clear sky
97,Kaitangata,NZ,-46.2817,169.8464,39.24,79,99,5.17,overcast clouds
98,Georgetown,MY,5.4112,100.3354,87.75,71,20,10.0,few clouds
99,Zhuanghe,CN,39.7008,122.9911,71.06,76,76,6.11,broken clouds
100,Zelenoborskiy,RU,66.845,32.3622,46.63,90,100,1.66,overcast clouds
101,Orlik,RU,52.5178,99.825,41.31,33,100,4.03,overcast clouds
102,Tyukhtet,RU,56.5389,89.3011,47.43,54,100,9.01,overcast clouds
103,Maningrida,AU,-12.0667,134.2667,82.81,67,82,12.88,broken clouds
104,Clyde River,CA,70.4692,-68.5914,24.13,88,17,5.06,few clouds
105,Hamilton,US,39.1834,-84.5333,53.78,88,1,0.0,mist
