City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Empalme,MX,84.85,broken clouds,27.9667,-110.8167,casa alejandro lopez
240,Cabo San Lucas,MX,84.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
241,Cayenne,GF,79.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
244,La Mana,EC,77.9,overcast clouds,-0.9333,-79.2167,Hotel Somagg
245,Brawley,US,84.09,clear sky,32.9787,-115.5303,Brawley Inn Hotel & Conference Center
246,Olinda,BR,76.73,overcast clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
249,Tartus,SY,87.42,clear sky,34.889,35.8866,خيمة نبراس للاجئين
250,Baracoa,CU,80.56,broken clouds,20.3467,-74.4958,Hostal Rio Miel
253,Salaga,GH,75.02,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
255,Begowal,IN,87.78,clear sky,31.6167,75.5167,Manjitsingh
256,Gorom-Gorom,BF,87.19,clear sky,14.4439,-0.2361,
257,Ahuimanu,US,78.51,light rain,21.4447,-157.8378,Paradise Bay Resort
259,Male,MV,77.38,heavy intensity rain,4.1748,73.5089,Hotel Octave Maldives
260,Quatre Cocos,MU,77.11,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
261,Naze,JP,81.52,few clouds,28.3667,129.4833,オーベルジュ・アガルイ
266,Ca Mau,VN,84.69,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
274,Faanui,PF,79.68,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
276,Karaton,ID,91.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
278,Dawei,MM,75.67,heavy intensity rain,14.0833,98.2,Hotel Dawei
280,Anton Lizardo,MX,76.21,overcast clouds,19.05,-95.9833,Hotel CocoAventura
281,Saint-Pierre,RE,79.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
283,Caraballeda,VE,78.87,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
284,Wajir,KE,86.92,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
286,Chuncheng,CN,87.03,light rain,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
294,Rosetta,EG,78.62,clear sky,31.4044,30.4164,Green Valley
295,Tura,IN,89.24,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
298,Yangjiang,CN,86.95,light rain,21.85,111.9667,HUALUXE Yangjiang City Center
300,Mangan,IN,85.51,scattered clouds,27.5167,88.5333,Hotel Mout View
304,Bilma,NE,89.74,clear sky,18.6853,12.9164,Expeditions Ténére voyages
305,Sembe,CG,76.87,overcast clouds,1.6481,14.5806,
